id,character,speaker,trigger,text,expression,acts,gameType,rematch,minRematch,losingStreak,flags,weight,once
dex-win-02,dex,,game_win,GG. Easy.,smug,,,,,,,1,
dex-loss-01,dex,,game_loss,Don't clip that.,annoyed,,,,,,,1,
dex-loss-02,dex,,game_loss,"That doesn't count, I was reading chat.",annoyed,,,,,,,1,
clive-start-01,clive,,game_start,"Just a quiet one tonight, I think.",neutral,,,,,,,1,
clive-start-02,clive,,game_start,Board four suits me fine.,neutral,,match,,,,,1,
clive-cap-01,clive,,capture_minor,Might as well swap those off.,neutral,,,,,,,1,
clive-cap-02,clive,,capture_rook,Tidier without them.,neutral,,,,,,,1,
clive-winning-01,clive,,clearly_winning,Funny how these things go.,neutral,,,,,,,1,
clive-losing-01,clive,,clearly_losing,"Nothing much in it, really.",neutral,,,,,,,1,
clive-check-01,clive,,check_received,Fair enough.,neutral,,,,,,,1,
clive-win-01,clive,,game_win,"I'd have taken the draw, if I were you.",neutral,,,,,,,1,
clive-loss-01,clive,,game_loss,"Well, you wanted it more.",neutral,,,,,,,1,
graham-start-01,graham,,game_start,"Scoresheet, please. Both copies.",neutral,,,,,,,1,
graham-start-02,graham,,game_start,"Subs are due, by the way. Not now. After.",neutral,,,,,,,1,
graham-check-01,graham,,check_given,Check. For the record.,neutral,,,,,,,1,
graham-castle-01,graham,,castling,"Castled. Correctly, I note.",neutral,,,,,,,1,
graham-enpassant-01,graham,,en_passant,"En passant. Perfectly legal, before you ask.",neutral,,,,,,,1,
graham-promo-01,graham,,promotion,"A queen. Technically, you could have had a knight.",neutral,,,,,,,1,
graham-win-01,graham,,game_win,Fair result. It'll be on the website by Thursday.,pleased,,,,,,,1,
graham-loss-01,graham,,game_loss,"Well played. Correctly played, even.",annoyed,,,,,,,1,
graham-loss-02,graham,,game_loss,I'll record that accurately. As always.,annoyed,,,,,,,1,
priya-start-01,priya,,game_start,I've been doing a course on this.,pleased,,,,,,,1,
priya-start-02,priya,,game_start,I've prepared something. Probably.,neutral,,,,,,,1,
priya-strong-01,priya,,strong_move,That's not theory.,surprised,,,,,,,1,
priya-strong-02,priya,,strong_move,Is that even good?,surprised,,,,,,,1,
priya-losing-01,priya,,clearly_losing,I know this. I definitely know this.,annoyed,,,,,,,1,
priya-check-01,priya,,check_received,Wait. That's not in the book.,surprised,,,,,,,1,
priya-win-01,priya,,game_win,"That's all main line, to be fair.",pleased,,,,,,,1,
priya-loss-01,priya,,game_loss,You weren't supposed to play that.,annoyed,,,,,,,1,
oscar-start-01,oscar,,game_start,(Shakes hands without looking up.),neutral,,,,,,,1,
oscar-start-02,oscar,neil,game_start,He's only been playing since March.,pleased,,,1,,,,2,yes
oscar-start-03,oscar,neil,game_start,His coach says he's ahead of schedule.,pleased,,,,2,,,1,
oscar-win-01,oscar,,game_win,Good game. (Goes off to play blitz.),neutral,,,,,,,1,
oscar-loss-01,oscar,,game_loss,Good game. (Exactly the same.),neutral,,,,,,,1,
oscar-loss-02,oscar,neil,game_loss,He's had a long week at school.,annoyed,,,,,,,1,
